x,y,ciudad
-25.091976230527507,90.14286128198324,Ciudad1
46.39878836228101,19.73169683940732,Ciudad2
-68.79627191151269,-68.80109593275947,Ciudad3
-88.3832775663601,73.23522915498702,Ciudad4
20.223002348641756,41.61451555920911,Ciudad5
-95.88310114083951,93.98197043239887,Ciudad6
66.48852816008434,-57.53217786434477,Ciudad7
-63.635006558579875,-63.31909802931324,Ciudad8
-39.15155140809246,4.951286326447573,Ciudad9
-13.610996271576852,-41.754171960391616,Ciudad10
22.370578944475895,-72.10122786959164,Ciudad11
-41.57107029295637,-26.727631341261656,Ciudad12
-8.786003156592813,57.03519227860272,Ciudad13
-60.06524356832805,2.8468876827223255,Ciudad14
18.482913772408494,-90.70991745600045,Ciudad15
21.50897038028768,-65.8951752625417,Ciudad16
-86.9896814029441,89.77710745066665,Ciudad17
93.12640661491187,61.67946962329222,Ciudad18
-39.07724616532586,-80.46557719872322,Ciudad19
36.846605302431385,-11.969501252079738,Ciudad20
-75.59235303104424,-0.9646179777459594,Ciudad21
-93.12229577695632,81.8640804157564,Ciudad22
-48.24400367999662,32.50445687079639,Ciudad23
-37.65778478211781,4.0136042355621555,Ciudad24
9.342055868655933,-63.02910889489459,Ciudad25
93.91692555291172,55.02656467222292,Ciudad26
87.89978831283781,78.96547008552977,Ciudad27
19.579995762217024,84.37484700462338,Ciudad28
-82.3014995896161,-60.80342751617096,Ciudad29
-90.95454221789238,-34.933933847347134,Ciudad30
-22.2645420621036,-45.730193645220815,Ciudad31
65.74750183038586,-28.64933466128214,Ciudad32
-43.81309806252385,8.539216631649694,Ciudad33
-71.81515500504747,60.43939615080794,Ciudad34
-85.08987126404584,97.37738732010345,Ciudad35
54.44895385933148,-60.25686369316552,Ciudad36
-98.89557657527952,63.09228569096683,Ciudad37
41.37146876952343,45.80143360819747,Ciudad38
54.25406933718915,-85.19106965318193,Ciudad39
-28.306854291145484,-76.82618809497406,Ciudad40
72.6206851751187,24.659625365511587,Ciudad41
-33.82039502947016,-87.28832994279527,Ciudad42
-37.80353565686756,-34.96333559465059,Ciudad43
45.92123566761282,27.511494271042622,Ciudad44
77.44254851526532,-5.557014967610144,Ciudad45
-76.08115081233966,42.648957444599006,Ciudad46
52.157009723379474,12.255439513899248,Ciudad47
54.19343599091221,-1.2408807271218478,Ciudad48
4.546565876398816,-14.491796328290079,Ciudad49
-94.91617465118097,-78.42171460133912,Ciudad50
-93.71416286265315,27.282082252756084,Ciudad51
-37.128803784734664,1.714138232940556,Ciudad52
81.51329478521859,-50.141554170225014,Ciudad53
-17.92341539287405,51.11022770860973,Ciudad54
-54.24036690167551,-84.6040180342414,Ciudad55
-42.0497094172464,-67.75574254919911,Ciudad56
85.93953046851462,61.6240759128834,Ciudad57
26.680751302084687,74.29211803754353,Ciudad58
60.734415379822906,-62.68598822279283,Ciudad59
78.51179969799554,7.8684483831301435,Ciudad60
