x,y,ciudad
-25.091976230527507,90.14286128198324,Ciudad1
46.39878836228101,19.73169683940732,Ciudad2
-68.79627191151269,-68.80109593275947,Ciudad3
-88.3832775663601,73.23522915498702,Ciudad4
20.223002348641756,41.61451555920911,Ciudad5
-95.88310114083951,93.98197043239887,Ciudad6
66.48852816008434,-57.53217786434477,Ciudad7
-63.635006558579875,-63.31909802931324,Ciudad8
-39.15155140809246,4.951286326447573,Ciudad9
-13.610996271576852,-41.754171960391616,Ciudad10
22.370578944475895,-72.10122786959164,Ciudad11
-41.57107029295637,-26.727631341261656,Ciudad12
-8.786003156592813,57.03519227860272,Ciudad13
-60.06524356832805,2.8468876827223255,Ciudad14
18.482913772408494,-90.70991745600045,Ciudad15
21.50897038028768,-65.8951752625417,Ciudad16
-86.9896814029441,89.77710745066665,Ciudad17
93.12640661491187,61.67946962329222,Ciudad18
-39.07724616532586,-80.46557719872322,Ciudad19
36.846605302431385,-11.969501252079738,Ciudad20
-75.59235303104424,-0.9646179777459594,Ciudad21
-93.12229577695632,81.8640804157564,Ciudad22
-48.24400367999662,32.50445687079639,Ciudad23
-37.65778478211781,4.0136042355621555,Ciudad24
